race_ethnicity,non_metro,detection_shift_sd,certification_shift_sd,predicted_to_actual_ratio_mean,predicted_to_actual_ratio_lower,predicted_to_actual_ratio_upper
nh_asian,True,-1.0,0.0,0.6018563508307667,0.5873787940340567,0.615778880968861
multiracial,False,-1.0,0.0,0.6123846785348918,0.595096650862823,0.630700328108441
multiracial,True,-1.0,0.0,0.5680830392712377,0.5525143225273063,0.5847168048209048
nh_white,False,-1.0,1.0,0.6883373118824402,0.6721513124932095,0.7046089052616412
nh_white,True,-1.0,1.0,0.6360891882524867,0.6178887667454535,0.6533023223401343
nh_black,False,-1.0,1.0,0.5852641803896279,0.5691896210988662,0.5993245443352175
nh_black,True,-1.0,1.0,0.5437683174858575,0.5306665364877176,0.5583731689379811
hispanic,False,-1.0,1.0,0.6047206105647458,0.5884061791608357,0.620501311275258
hispanic,True,-1.0,1.0,0.5611919116627527,0.5464921078715523,0.5769855590401718
nh_aian,False,-1.0,1.0,0.5423166008056518,0.5271504551030518,0.5598440088749252
nh_aian,True,-1.0,1.0,0.5071628377338364,0.49422453785599957,0.5203136434164229
nh_asian,False,-1.0,1.0,0.6653098722130286,0.6497285294765721,0.6798808902239311
nh_asian,True,-1.0,1.0,0.615787202616879,0.6011186584822061,0.6301924027366335
multiracial,False,-1.0,1.0,0.6299983864944825,0.6118337419341701,0.6480245280216766
multiracial,True,-1.0,1.0,0.5833441091634916,0.5692421940747541,0.5996292949622328
nh_white,False,0.0,-1.0,0.6738152075800573,0.6579930519309105,0.6893992106123432
nh_white,True,0.0,-1.0,0.6238185849906241,0.6075978110781483,0.6419377009214864
nh_black,False,0.0,-1.0,0.5681076932615732,0.5514006814880008,0.5848311359145457
nh_black,True,0.0,-1.0,0.5298817667216048,0.5178544024547941,0.5430997185257118
hispanic,False,0.0,-1.0,0.586166664688704,0.5693484873759158,0.601756123102454
hispanic,True,0.0,-1.0,0.5455287785291599,0.5309220119860106,0.5598140057097527
nh_aian,False,0.0,-1.0,0.5255673761687114,0.5097078623487596,0.5401147403516442
nh_aian,True,0.0,-1.0,0.49275648474181327,0.479687765782455,0.5069148959948547
nh_asian,False,0.0,-1.0,0.651962497393492,0.6366802191622057,0.6670937989199496
nh_asian,True,0.0,-1.0,0.6047042916441828,0.5899280699602376,0.6186924259658976
multiracial,False,0.0,-1.0,0.6144327347353165,0.5975656849031609,0.6326308594270825
multiracial,True,0.0,-1.0,0.570801891470605,0.5555154312528361,0.5852338914608005
nh_white,False,0.0,0.0,0.6917781090762046,0.6760390962874735,0.707465182057045
nh_white,True,0.0,0.0,0.6399636828401883,0.6232291669867853,0.6576746500281634
nh_black,False,0.0,0.0,0.5853445969252332,0.5687992698927776,0.6011504414277892
nh_black,True,0.0,0.0,0.5446248711588987,0.531881582483816,0.5578286492322209
hispanic,False,0.0,0.0,0.6043847246726515,0.5878705442213555,0.6207820790864275
hispanic,True,0.0,0.0,0.5614366762227575,0.5453675939819705,0.5760395436386727
nh_aian,False,0.0,0.0,0.543269956814558,0.5273410405451793,0.5593690366363462
nh_aian,True,0.0,0.0,0.5080165542337145,0.4947814856733809,0.5218968330737905
nh_asian,False,0.0,0.0,0.6694725174935497,0.652991635848675,0.6853291230948092
nh_asian,True,0.0,0.0,0.6198942883129667,0.6048308306216474,0.634360946200867
multiracial,False,0.0,0.0,0.6339209904438956,0.6164468210225998,0.653491691384003
multiracial,True,0.0,0.0,0.5879449891132266,0.5713973824180921,0.603847956853598
nh_white,False,0.0,1.0,0.7096462659496477,0.6941392545166255,0.7256389362492958
